Achtelky	achtelky
Brno, Kolejní	brno kolejní; brna kolejního; brnu kolejnímu; brnu kolejnim; brnu kolejním; brně kolejnim; brně kolejním
Brno, Koliště	brno koliště; brna koliště; brnu kolišti; brně kolišti
Brno, Komenského náměstí	brno komenského náměstí; brna komenského náměstí; brnu komenského náměstí; brně komenského náměstí
Brno, Komárov	brno komárov; brna komárova; brnu komárovu; brnu komárově; brně komárovu; brně komárově
Brno, Komín, smyčka	brno komín smyčka; brna komína smyčky; brna komínu smyčky; brnu komínu smyčce; brno komín smyčku; brnu komíně smyčce; brně komínu smyčce; brně komíně smyčce
Brno, Komín, sídliště	brno komín sídliště; brna komína sídliště; brna komínu sídliště; brnu komínu sídlišti; brnu komíně sídlišti; brně komínu sídlišti; brně komíně sídlišti
Brno, Konečného náměstí	brno konečného náměstí; brna konečného náměstí; brnu konečného náměstí; brně konečného náměstí
Brno, Koniklecová	brno koniklecová; brna koniklecové; brna koniklecový; brnu koniklecové; brnu koniklecový; brno koniklecovou; brně koniklecové; brně koniklecový
Brno, Konopná	brno konopná; brna konopné; brna konopný; brnu konopné; brnu konopný; brno konopnou; brně konopné; brně konopný
Brno, Kopce	brno kopce; brna kopců; brnu kopcum; brnu kopcům; brnu kopcích; brně kopcích
Brno, Kosmonautů	brno kosmonautů; brna kosmonautů; brnu kosmonautů; brně kosmonautů
Brno, Kotlanova	brno kotlanova; brna kotlanovy; brnu kotlanově; brno kotlanovu; brně kotlanově
Brno, Kounicovy koleje	brno kounicovy koleje; brna kounicových kolejí; brna kounicovejch kolejí; brnu kounicovejm kolejím; brnu kounicovým kolejím; brnu kounicových kolejích; brnu kounicovejch kolejích; brně kounicových kolejích; brně kounicovejch kolejích
Brno, Kouty	brno kouty; brna koutů; brnu koutum; brnu koutům; brnu koutech; brně koutech
Brno, Kovářská	brno kovářská; brna kovářský; brna kovářské; brnu kovářský; brnu kovářské; brno kovářskou; brně kovářský; brně kovářské
Brno, Kozí Horka	brno kozí horka; brna kozí horky; brnu kozí horce; brno kozí horku; brně kozí horce
Brno, Kořískova	brno kořískova; brna kořískova; brnu kořískova; brně kořískova
Brno, Košuličova	brno košuličova; brna košuličovy; brnu košuličově; brno košuličovu; brně košuličově
Brno, Krejčího	brno krejčího; brna krejčího; brnu krejčího; brně krejčího
Brno, Krematorium	brno krematorium; brna krematoria; brnu krematoriu; brně krematoriu
Brno, Kristenova	brno kristenova; brna kristenovy; brnu kristenově; brno kristenovu; brně kristenově
Brno, Kroměřížská	brno kroměřížská; brna kroměřížský; brna kroměřížské; brnu kroměřížský; brnu kroměřížské; brno kroměřížskou; brně kroměřížský; brně kroměřížské
Brno, Kronova	brno kronova; brna kronovy; brnu kronově; brno kronovu; brně kronově
Brno, Králova	brno králova; brna královy; brnu králově; brno královu; brně králově
Brno, Královka	brno královka; brna královky; brnu královce; brno královku; brně královce
Brno, Královo Pole, nádraží	brno královo pole nádraží; brna králova pole nádraží; brnu královu poli nádraží; brnu králově poli nádraží; brně královu poli nádraží; brně králově poli nádraží
Brno, Královopolská strojírna	brno královopolská strojírna; brna královopolský strojírny; brna královopolské strojírny; brnu královopolský strojírně; brnu královopolské strojírně; brno královopolskou strojírnu; brně královopolský strojírně; brně královopolské strojírně
Brno, Krásného	brno krásného; brna krásného; brnu krásného; brně krásného
Brno, Kubelíkova	brno kubelíkova; brna kubelíkovy; brnu kubelíkově; brno kubelíkovu; brně kubelíkově
Brno, Kubíčkova	brno kubíčkova; brna kubíčkovy; brnu kubíčkově; brno kubíčkovu; brně kubíčkově
Brno, Kuldova	brno kuldova; brna kuldovy; brnu kuldově; brno kuldovu; brně kuldově
Brno, Kulkova	brno kulkova; brna kulkovy; brnu kulkově; brno kulkovu; brně kulkově
Brno, Kupkova	brno kupkova; brna kupkovy; brnu kupkově; brno kupkovu; brně kupkově
Brno, Kurská	brno kurská; brna kurské; brna kurský; brnu kurské; brnu kurský; brno kurskou; brně kurské; brně kurský
Brno, Květná	brno květná; brna květné; brna květný; brnu květné; brnu květný; brno květnou; brně květné; brně květný
Brno, Kyjevská	brno kyjevská; brna kyjevský; brna kyjevské; brnu kyjevský; brnu kyjevské; brno kyjevskou; brně kyjevský; brně kyjevské
Brno, Körnerova	brno körnerova; brna körnerovy; brnu körnerově; brno körnerovu; brně körnerově
Brno, Křehlíkova	brno křehlíkova; brna křehlíkovy; brnu křehlíkově; brno křehlíkovu; brně křehlíkově
Brno, Křivánkovo náměstí	brno křivánkovo náměstí; brna křivánkova náměstí; brnu křivánkovu náměstí; brnu křivánkově náměstí; brně křivánkovu náměstí; brně křivánkově náměstí
Brno, Křižíkova - areál škol	brno křižíkova areál škol; brna křižíkovy areálu škol; brnu křižíkově areálu škol; brno křižíkovu areál škol; brnu křižíkově areále škol; brně křižíkově areále škol; brně křižíkově areálu škol
Brno, Křídlovická	brno křídlovická; brna křídlovické; brna křídlovický; brnu křídlovické; brnu křídlovický; brno křídlovickou; brně křídlovické; brně křídlovický
Brno, Křížkovského	brno křížkovského; brna křížkovského; brnu křížkovského; brně křížkovského
Brno, Kšírova	brno kšírova; brna kšírovy; brnu kšírově; brno kšírovu; brně kšírově
Brno, Labská	brno labská; brna labské; brna labský; brnu labské; brnu labský; brno labskou; brně labské; brně labský
Brno, Langrova	brno langrova; brna langrovy; brnu langrově; brno langrovu; brně langrově
Brno, Laštůvkova	brno laštůvkova; brna laštůvkovy; brnu laštůvkově; brno laštůvkovu; brně laštůvkově
Brno, Lesnická	brno lesnická; brna lesnický; brna lesnické; brnu lesnický; brnu lesnické; brno lesnickou; brně lesnický; brně lesnické
