Achtelky	achtelky
Huntířovská	huntířovská; huntířovský; huntířovské; huntířovskou
Husinecká	husinecká; husinecký; husinecké; husineckou
Hutmanka	hutmanka
Hutě	hutě; hutí; hutím; huti; hutích
Hybšmanka	hybšmanka
Hydrologický ústav	hydrologický ústav; hydrologického ústavu; hydrologickýho ústavu; hydrologickýmu ústavu; hydrologickému ústavu; hydrologickej ústav; hydrologickym ústavu; hydrologickym ústavě; hydrologickým ústavu; hydrologickým ústavě; hydrologickém ústavu; hydrologickém ústavě
Háje	háje; hájův; hájum; hájům; hájích
Hájová	hájová; hájové; hájový; hájovou
Högerova	högerova; högerovy; högerově; högerovu
Hřebenka	hřebenka; hřebenky; hřebence; hřebenku
Hříbková	hříbková; hříbkové; hříbkový; hříbkovou
Hůrka	hůrka; hůrky; hůrce; hůrku
I. P. Pavlova	i p pavlova; i p pavlovy; i p pavlovu; ípák; ípáku; aj pí pavlova; aj pí pavlovy; aj pí pavlově; aj pí pavlovu; ajpí pavlova; ajpí pavlovy; ajpí pavlovů; ajpí pavlovum; ajpí pavlovům; ajpí pavlovech; ajpák; ajpáku; pavlák; pavláka; pavláku; pavlákovi
IKEA	ikea; ikey; ikeji; ikee; ikeu; ikeju
IKEA Černý Most	ikea černý most; ikey černý mostu; ikeji černý mostu; ikee černý mostu; ikeu černý most; ikeju černý most; ikee černý mostě; ikeji černý mostě
IKEM	ikem; ikemu
Internacionální	internacionální; internacionálních; internacionálnim; internacionálním
Invalidovna	invalidovna; invalidovny; invalidovně; invalidovnu
Italská	italská; italské; italský; italskou
Jahodnice	jahodnice; jahodnic; jahodnicům; jahodnicím; jahodnicích
Jahodnice dvě	jahodnice dvě; jahodnic dvě; jahodnicům dvě; jahodnicím dvě; jahodnicích dvě; jahodnice římská dvě; jahodnic římská dvě; jahodnicům římská dvě; jahodnicím římská dvě; jahodnicích římská dvě
Jakobiho	jakobiho
Jalodvorská	jalodvorská
Jana Masaryka	jana masaryka
Jankovcova	jankovcova; jankovcovy; jankovcově; jankovcovu
Janovská	janovská; janovské; janovský; janovskou
Jarníkova	jarníkova; jarníkovy; jarníkově; jarníkovu
Jedličkův ústav	jedličkův ústav; jedličkova ústavu; jedličkovu ústavu; jedličkuv ústav; jedličkovu ústavě; jedličkově ústavu; jedličkově ústavě
Jemnická	jemnická; jemnický; jemnické; jemnickou
Jenerálka	jenerálka; jenerálky; jenerálce; jenerálku
Jenštejn	jenštejn; jenštejna; jenštejnu; jenštejně
Jenštejn, Dehtáry	jenštejn dehtáry; jenštejna dehtáry; jenštejnu dehtáry; jenštejnovi dehtáry
Jenštejn, Domov seniorů	jenštejn domov seniorů; jenštejna domova seniorů; jenštejnu domovu seniorů; jenštejnovi domovu seniorů; jenštejna domov seniorů; jenštejnu domově seniorů; jenštejnovi domově seniorů
Jenštejn, Hradní	jenštejn hradní; jenštejna hradních; jenštejnu hradnim; jenštejnu hradním; jenštejnovi hradnim; jenštejnovi hradním; jenštejna hradní; jenštejnu hradních; jenštejnovi hradních
Jesenická	jesenická; jesenický; jesenické; jesenickou
Jezerka	jezerka; jezerky; jezerce; jezerku
Jeřická	jeřická; jeřický; jeřické; jeřickou
Ježovická	ježovická
Jindřišská	jindřišská; jindřišské; jindřišský; jindřišskou
Jinonice	jinonice; jinonic; jinonicům; jinonicím; jinonicích
Jinonická	jinonická; jinonický; jinonické; jinonickou
Jiráskova čtvrť	jiráskova čtvrť; jiráskovy čtvrti; jiráskovy čtvrtě; jiráskově čtvrti; jiráskovu čtvrť
Jiráskovo náměstí	jiráskovo náměstí; jiráskova náměstí; jiráskovu náměstí; jiráskově náměstí; jiráskovém náměstí
Jirčanská	jirčanská; jirčanský; jirčanské; jirčanskou
Jitřní	jitřní; jitřních; jitřnim; jitřním
Jiviny	jiviny; jivin; jivinám; jivinách
Jiřího z Poděbrad	jiřího z poděbrad
Jižní Město	jižní město; jižního města; jižnímu městu; jižnim městu; jižnim městě; jižním městu; jižním městě
Jordánská	jordánská; jordánský; jordánské; jordánskou
Juliska	juliska; julisky; julisce; julisku
Jílovská	jílovská; jílovské; jílovský; jílovskou
K Austisu	k austisu
K Barrandovu	k barrandovu
K Chatám	k chatám
K Cihelně	k cihelně
K Cikánce	k cikánce
K Drsnici	k drsnici
K Dubečku	k dubečku
K Fialce	k fialce
K Holyni	k holyni
K Horoměřicům	k horoměřicům
K Hájům	k hájům
K Lesoparku	k lesoparku
K Letišti	k letišti
K Letňanům	k letňanům
K Lipanům	k lipanům
K Netlukám	k netlukám
K Noskovně	k noskovně
K Obecním hájovnám	k obecním hájovnám
K Pitkovičkám	k pitkovičkám
K Sukovu	k sukovu
K Teplárně	k teplárně
K Trninám	k trninám
K Tuchoměřicům	k tuchoměřicům
K Třebonicům	k třebonicům
K Vystrkovu	k vystrkovu
K Zelenči	k zelenči
K Závětinám	k závětinám
K Říčanům	k říčanům
K Žižkovu	k žižkovu
KOH - I - NOOR	koh i noor
Kabešova	kabešova; kabešovy; kabešově; kabešovu
Kablo	kablo; kabla; kablu; kable
Kafkova	kafkova; kafkovy; kafkově; kafkovu
Kajetánka	kajetánka; kajetánky; kajetánce; kajetánku
Kalinův mlýn	kalinův mlýn; kalinova mlýna; kalinova mlýnu; kalinovu mlýnu; kalinuv mlýn; kalinovu mlýně; kalinově mlýnu; kalinově mlýně
Kamenická	kamenická; kamenický; kamenické; kamenickou
Kamenolom Zbraslav	kamenolom zbraslav; kamenolomu zbraslav
Kamýcká	kamýcká; kamýcký; kamýcké; kamýckou
Kapitána Stránského	kapitána stránského
Karenova	karenova; karenovy; karenově; karenovu
Karlovo náměstí	karlovo náměstí; karlova náměstí; karlovu náměstí; karlově náměstí; karlák; karláku
Karlovy lázně	karlovy lázně; karlových lázní; karlovejch lázní; karlovejm lázním; karlovým lázním; karlových lázních; karlovejch lázních
Karlínské náměstí	karlínské náměstí; karlínskýho náměstí; karlínského náměstí; karlínskýmu náměstí; karlínskému náměstí; karlínský náměstí; karlínskym náměstí; karlínským náměstí; karlínském náměstí
Karlštejnská	karlštejnská; karlštejnský; karlštejnské; karlštejnskou
Kateřinky	kateřinky; kateřinek; kateřinkám; kateřinkách
Kateřinská	kateřinská; kateřinský; kateřinské; kateřinskou
Katovická	katovická; katovický; katovické; katovickou
Kavalírka	kavalírka; kavalírky; kavalírce; kavalírku
Kavkazská	kavkazská; kavkazský; kavkazské; kavkazskou
Kavčí hory	kavčí hory; kavčích hor; kavčim horám; kavčím horám; kavčích horách
Kazanka	kazanka
Kazínská	kazínská; kazínský; kazínské; kazínskou
Kačerov	kačerov; kačerova; kačerovu; kačerově
Kbelská	kbelská; kbelské; kbelský; kbelskou
Kbelský hřbitov	kbelský hřbitov; kbelského hřbitova; kbelskýho hřbitova; kbelskému hřbitovu; kbelskýmu hřbitovu; kbelskej hřbitov; kbelskym hřbitovu; kbelskym hřbitově; kbelským hřbitovu; kbelským hřbitově; kbelském hřbitovu; kbelském hřbitově
Kbely	kbely; kbelů; kbelum; kbelům; kbelech
Ke Březině	ke březině
Ke Hrázi	ke hrázi
Ke Kaménce	ke kaménce
Ke Kateřinkám	ke kateřinkám
Ke Klíčovu	ke klíčovu
Ke Koulce	ke koulce
Ke Schodům	ke schodům
Ke Smrčině	ke smrčině
Ke Stadionu	ke stadionu
Ke Stírce	ke stírce
Ke Xaverovu	ke xaverovu
Kelerka	kelerka; kelerky; kelerce; kelerku
Kesnerka	kesnerka
Khodlova	khodlova
Klamovka	klamovka; klamovky; klamovce; klamovku
Klikovka	klikovka; klikovky; klikovce; klikovku
Kloboučnická	kloboučnická; kloboučnický; kloboučnické; kloboučnickou
Klukovice	klukovice
Klánova	klánova; klánovy; klánově; klánovu
Klánovice	klánovice; klánovic; klánovicům; klánovicím; klánovicích
Klárův ústav	klárův ústav; klárova ústavu; klárovu ústavu; kláruv ústav; klárovu ústavě; klárově ústavu; klárově ústavě
Klíčov	klíčov; klíčova; klíčovu; klíčově
Klíčovská	klíčovská; klíčovský; klíčovské; klíčovskou
Knovízská	knovízská; knovízský; knovízské; knovízskou
Kněžská luka	kněžská luka; kněžských luk; kněžskejch luk; kněžským lukám; kněžskejm lukám; kněžský luka; kněžských lukách; kněžskejch lukách
Kobrova	kobrova; kobrovy; kobrově; kobrovu
Kobyliská střelnice	kobyliská střelnice; kobyliský střelnice; kobyliské střelnice; kobyliský střelnici; kobyliské střelnici; kobyliskou střelnici
Kobylisy	kobylisy; kobylis; kobylisum; kobylisům; kobylisím; kobylisech; kobylisích; kobylisách
Kodaňská	kodaňská; kodaňský; kodaňské; kodaňskou
Kodymova	kodymova; kodymovy; kodymově; kodymovu
Kokořínská	kokořínská; kokořínský; kokořínské; kokořínskou
Kolbenova	kolbenova; kolbenovy; kolbenově; kolbenovu
Koleje Jižní Město	koleje jižní město; kolejí jižní města; kolejím jižní městu; kolejích jižní městu; kolejích jižní městě
Koleje Strahov	koleje strahov; kolejí strahov; kolejím strahov; kolejích strahov
Koleje Větrník	koleje větrník; kolejí větrník; kolejím větrník; kolejích větrník
Koloděje	koloděje; koloděj; kolodějím; kolodějích
Kolodějská obora	kolodějská obora; kolodějský obory; kolodějské obory; kolodějský oboře; kolodějské oboře; kolodějskou oboru
Kolonie	kolonie; kolonii
Kolovraty	kolovraty; kolovrat; kolovratum; kolovratům; kolovratech; kolovratách
Komárovská	komárovská; komárovský; komárovské; komárovskou
Konvářka	konvářka; konvářky; konvářce; konvářku
Korandova	korandova; korandovy; korandově; korandovu
Korek	korek; korku
Korunovační	korunovační
Kostrounek	kostrounek
Kotlářka	kotlářka; kotlářky; kotlářce; kotlářku
Kovošrot	kovošrot; kovošrotu
Kovárna	kovárna; kovárny; kovárně; kovárnu
Kovářova	kovářova; kovářovy; kovářově; kovářovu
Krausova	krausova; krausovy; krausově; krausovu
Krejcárek	krejcárek; krejcárka; krejcárku; krejcárkovi
Krematorium Motol	krematorium motol; krematoria motol; krematoriu motol
Krematorium Strašnice	krematorium strašnice; krematoria strašnice; krematoriu strašnice
Krocínka	krocínka; krocínky; krocínce; krocínku
Krymská	krymská; krymské; krymský; krymskou
Krystalová	krystalová; krystalové; krystalový; krystalovou
Králova	králova; královy; králově; královu
Královická	královická; královický; královické; královickou
Královský letohrádek	královský letohrádek; královskýho letohrádku; královského letohrádku; královskýmu letohrádku; královskému letohrádku; královskej letohrádek; královskym letohrádku; královským letohrádku; královském letohrádku
Krčská	krčská; krčské; krčský; krčskou
Krčský hřbitov	krčský hřbitov; krčského hřbitova; krčskýho hřbitova; krčskému hřbitovu; krčskýmu hřbitovu; krčskej hřbitov; krčskym hřbitovu; krčskym hřbitově; krčským hřbitovu; krčským hřbitově; krčském hřbitovu; krčském hřbitově
Krňovická	krňovická; krňovický; krňovické; krňovickou
Kublov	kublov; kublova; kublovu; kublově
Kubánské náměstí	kubánské náměstí; kubánskýho náměstí; kubánského náměstí; kubánskýmu náměstí; kubánskému náměstí; kubánský náměstí; kubánskym náměstí; kubánským náměstí; kubánském náměstí
Kuchyňka	kuchyňka; kuchyňky; kuchyňce; kuchyňku
Kudrnova	kudrnova; kudrnovy; kudrnově; kudrnovu
Kuliška	kuliška
Kunratická škola	kunratická škola; kunratický školy; kunratické školy; kunratický škole; kunratické škole; kunratickou školu
Kutnohorská	kutnohorská; kutnohorský; kutnohorské; kutnohorskou
Kvasinská	kvasinská; kvasinský; kvasinské; kvasinskou
Květnová	květnová; květnové; květnový; květnovou
Kyje	kyje; kyjů; kyjum; kyjům; kyjích
Kyjský hřbitov	kyjský hřbitov; kyjského hřbitova; kyjskýho hřbitova; kyjskému hřbitovu; kyjskýmu hřbitovu; kyjskej hřbitov; kyjskym hřbitovu; kyjskym hřbitově; kyjským hřbitovu; kyjským hřbitově; kyjském hřbitovu; kyjském hřbitově
Kyselova	kyselova; kyselovy; kyselově; kyselovu
Křeslice	křeslice; křeslic; křeslicům; křeslicím; křeslicích
Křižíkova	křižíkova; křižíkovy; křižíkově; křižíkovu
Křížová	křížová; křížové; křížový; křížovou
Labe	labe; labi
Lahovice	lahovice; lahovic; lahovicům; lahovicím; lahovicích
Lahovický most	lahovický most; lahovického mostu; lahovickýho mostu; lahovickýmu mostu; lahovickému mostu; lahovickej most; lahovickym mostu; lahovickym mostě; lahovickým mostu; lahovickým mostě; lahovickém mostu; lahovickém mostě
Lahovičky	lahovičky; lahoviček; lahovičkám; lahovičkách
Lahovská	lahovská; lahovské; lahovský; lahovskou
Laurová	laurová; laurové; laurový; laurovou
Lazarská	lazarská; lazarský; lazarské; lazarskou
Lehovec	lehovec; lehovce; lehovci; lehovcovi
Lehárova	lehárova; lehárovy; lehárově; lehárovu
Letecké muzeum	letecké muzeum; leteckého musea; leteckého muzea; leteckýho musea; leteckýho muzea; leteckému museu; leteckému muzeu; leteckýmu museu; leteckýmu muzeu; letecké museum; letecký museum; letecký muzeum; leteckym museu; leteckym muzeu; leteckým museu; leteckým muzeu; leteckém museu; leteckém muzeu
Letecké opravny	letecké opravny; leteckých opraven; leteckejch opraven; leteckým opravnám; leteckejm opravnám; letecký opravny; leteckých opravnách; leteckejch opravnách
Letenské náměstí	letenské náměstí; letenskýho náměstí; letenského náměstí; letenskýmu náměstí; letenskému náměstí; letenský náměstí; letenskym náměstí; letenským náměstí; letenském náměstí
Letiště	letiště; letišti
Letňanská	letňanská; letňanský; letňanské; letňanskou
Letňany	letňany; letňan; letňanum; letňanům; letňanech; letňanách
Levského	levského
Lešanská	lešanská; lešanský; lešanské; lešanskou
Lhotecký les	lhotecký les; lhoteckého lesa; lhoteckýho lesa; lhoteckýmu lesu; lhoteckému lesu; lhoteckej les; lhoteckym lese; lhoteckym lesu; lhoteckým lese; lhoteckým lesu; lhoteckém lese; lhoteckém lesu
Lhotka	lhotka; lhotky; lhotce; lhotku; písnická; písnický; písnické; písnickou
Libeňská	libeňská; libeňský; libeňské; libeňskou
Libeňský most	libeňský most; libeňskýho mostu; libeňského mostu; libeňskýmu mostu; libeňskému mostu; libeňskej most; libeňskym mostu; libeňskym mostě; libeňským mostu; libeňským mostě; libeňském mostu; libeňském mostě
Libocká	libocká; libocké; libocký; libockou
Libošovická	libošovická; libošovický; libošovické; libošovickou
Libuš	libuš; libuše; libuši
Liběchovská	liběchovská; liběchovský; liběchovské; liběchovskou
Lidečská	lidečská
Lihovar	lihovar; lihovaru; lihovaře
Limuzská	limuzská
Lipanská	lipanská; lipanské; lipanský; lipanskou; žižkov; žižkova; žižkovu; žižkově
Lipany	lipany; lipan; lipanám; lipanách
Lipence	lipence; lipencí; lipencím; lipencích
Lipnická	lipnická; lipnický; lipnické; lipnickou
Lipovická	lipovická
Litochlebské náměstí	litochlebské náměstí
Litovický potok	litovický potok; litovického potoka; litovického potoku; litovickýho potoka; litovickýho potoku; litovickýmu potoku; litovickému potoku; litovickej potok; litovickym potoce; litovickym potoku; litovickým potoce; litovickým potoku; litovickém potoce; litovickém potoku
Livornská	livornská; livornský; livornské; livornskou
Lnářská	lnářská; lnářský; lnářské; lnářskou
Lochkov	lochkov; lochkova; lochkovu; lochkově
Lohenická	lohenická; lohenický; lohenické; lohenickou
